#{"t_start": 1764065397.8476632, "env_id": "None"}
r,l,t
25.788298,50,0.049172
27.779248,50,0.06438
24.005995,34,0.075618
25.512109,50,0.092021
27.230557,40,0.10464
29.312395,48,0.119427
23.455067,31,0.130104
27.32546,50,0.145036
27.585128,41,0.157738
26.979703,50,0.17386
29.519807,50,0.188552
40.918012,50,0.204702
27.683324,50,0.21931
26.830777,50,0.23693
20.231714,25,0.245171
25.579505,50,0.260025
25.359636,41,0.272599
26.94379,50,0.290301
28.002225,44,0.305044
28.595598,50,0.322628
29.297114,50,0.337635
28.408793,50,0.35378
23.363601,34,0.363263
29.431505,49,0.379398
24.091679,50,0.39551
25.08817,37,0.407409
23.044402,50,0.424221
23.124481,50,0.439037
27.777459,50,0.455203
30.479991,49,0.469606
25.86407,39,0.481652
26.494999,44,0.494902
23.306435,50,0.510976
27.642453,50,0.525655
28.062187,46,0.540905
27.960323,50,0.555634
25.239565,50,0.571991
27.307411,50,0.586672
25.926898,42,0.599475
21.319757,50,0.618205
29.77252,47,0.632843
26.015232,50,0.651196
27.044946,50,0.667812
30.072751,48,0.686296
26.748334,43,0.701636
25.369733,50,0.716809
26.627713,41,0.729819
27.24455,46,0.744063
26.723587,45,0.75905
38.788318,50,0.773541
26.254812,50,0.789686
18.872872,23,0.796636
23.250525,36,0.80807
26.210816,50,0.822643
29.166377,48,0.838312
26.830139,42,0.851143
23.335531,32,0.860057
25.244676,50,0.876218
39.750893,50,0.890916
26.590371,50,0.907036
23.425446,32,0.915965
19.546496,23,0.922871
29.667165,47,0.938302
22.934772,50,0.952856
26.348186,39,0.964874
27.876218,50,0.980994
29.283846,49,0.995421
29.615825,49,1.011381
26.860679,50,1.025987
27.687082,50,1.042038
28.55726,49,1.056459
28.21333,50,1.072548
22.756873,35,1.082184
28.559723,50,1.098215
25.004032,38,1.110068
38.42661,50,1.124654
28.784109,48,1.140292
26.140572,50,1.154796
24.212366,50,1.17072
25.744353,50,1.185215
27.690965,50,1.20121
30.196263,48,1.215228
28.247559,50,1.231187
25.490592,38,1.241436
26.701975,50,1.257485
27.96894,45,1.270863
29.943117,49,1.28658
28.381424,44,1.301243
26.827548,50,1.315783
25.184199,35,1.326914
26.328214,39,1.338884
28.988546,48,1.352908
30.339482,50,1.368907
23.50917,50,1.383345
28.852383,50,1.399309
27.546969,50,1.413916
22.340027,33,1.424576
22.828132,50,1.440416
22.405233,30,1.448764
27.63116,50,1.464556
26.902355,40,1.476626
22.96301,33,1.485665
26.274907,43,1.498978
26.954069,46,1.514211
28.305462,50,1.529094
24.070986,35,1.540292
27.550919,50,1.554844
22.291066,32,1.565234
25.562206,38,1.576977
26.490664,44,1.590092
20.14558,25,1.597364
22.017545,30,1.607271
26.114366,41,1.619684
24.459119,50,1.634367
23.895186,50,1.650632
22.116333,50,1.665171
26.602097,50,1.681167
28.409329,49,1.695442
21.786548,29,1.705119
26.130122,47,1.71888
24.59389,36,1.730227
26.400826,42,1.742902
19.118184,23,1.7497
26.487744,50,1.765617
24.315264,50,1.780072
27.107943,43,1.792955
28.808961,50,1.80888
23.692842,37,1.820301
20.433942,29,1.828469
30.946347,49,1.844255
26.434071,44,1.858363
23.872637,35,1.869471
28.674287,46,1.883564
29.148254,50,1.898744
25.488905,50,1.916215
25.469154,50,1.930808
23.36153,34,1.941715
25.876813,50,1.957827
24.536947,50,1.972368
26.65013,44,1.98554
30.392934,50,2.001557
23.227468,50,2.016018
28.62362,46,2.03104
22.337043,50,2.045509
23.624942,50,2.061486
22.747746,30,2.069925
27.106107,50,2.085864
26.813997,50,2.100389
18.708774,20,2.106522
28.206534,48,2.12202
25.67932,50,2.136526
24.191564,35,2.14757
26.979453,50,2.162155
21.799758,27,2.171501
24.253174,50,2.18606
26.465992,50,2.20209
24.7362,36,2.212054
25.971904,50,2.228101
28.394874,44,2.241281
27.371302,50,2.257258
23.633256,33,2.266362
28.667211,50,2.282302
19.397079,21,2.288652
25.515679,37,2.300141
28.170226,47,2.313905
25.441272,41,2.326294
29.751715,48,2.340282
26.408229,44,2.354817
26.828262,41,2.367221
28.630632,50,2.381693
26.588587,50,2.397624
27.201283,43,2.410494
26.88226,41,2.422876
23.862253,36,2.434125
28.99477,48,2.448139
20.402065,24,2.455191
39.513879,50,2.471057
29.958384,47,2.484886
28.561836,50,2.500871
27.0362,50,2.515355
