#{"t_start": 1764065941.66975, "env_id": "None"}
r,l,t
29.209743,49,0.015017
27.33241,50,0.024664
25.838751,40,0.032296
26.984284,50,0.04178
24.9981,50,0.051174
27.090942,43,0.059381
26.681544,50,0.068791
28.124633,50,0.07818
27.245649,50,0.087585
25.340425,39,0.094939
27.038412,50,0.104984
26.722272,40,0.112802
28.246556,47,0.121917
26.409423,50,0.131537
26.557371,41,0.139417
27.768096,42,0.147523
27.317003,50,0.15707
27.785718,50,0.166706
22.677561,33,0.17304
23.438205,30,0.178826
24.628545,50,0.188334
27.2058,50,0.197858
26.333058,43,0.206171
26.224195,44,0.214605
23.885151,50,0.22424
19.582078,50,0.233856
26.148846,44,0.242303
25.920842,50,0.251871
24.84475,38,0.259139
24.647704,40,0.266863
27.776099,46,0.275747
27.659252,50,0.285362
22.993629,35,0.292091
27.302957,50,0.301669
23.388446,35,0.308402
26.500275,44,0.316806
23.747363,50,0.326385
28.773136,50,0.335972
26.026047,38,0.343281
30.411453,49,0.353122
25.722724,50,0.362878
22.852031,50,0.372469
22.300773,50,0.382061
30.102405,47,0.391124
28.343777,43,1.652775
24.89966,36,1.659978
24.309441,36,1.666894
27.787909,50,1.676423
26.496183,41,1.684304
28.415422,50,1.693801
24.776042,36,1.70067
21.762299,27,1.705846
22.463914,28,1.711184
28.829103,42,1.719129
21.129212,26,1.724067
29.991705,49,1.733344
22.807721,31,1.739231
18.75412,21,1.74327
23.920109,32,1.749338
22.275598,27,1.75447
30.121016,50,1.76395
23.740968,34,1.770447
22.378781,28,1.77575
27.681544,40,1.783305
40.195099,50,1.792723
24.586629,35,1.799371
23.35845,32,1.805459
24.076231,34,1.811898
29.374551,50,1.821272
26.304875,36,1.828067
29.681356,47,1.83689
23.222206,33,1.843135
27.126143,42,1.851065
22.725496,30,1.85674
24.056054,33,1.862984
24.285195,38,1.870146
24.920662,39,1.877504
20.715877,27,1.882646
21.793848,28,1.887939
25.657239,39,1.89532
24.21934,31,1.901177
23.871704,30,1.90686
27.197414,50,1.916282
21.855807,26,1.921215
26.290566,41,1.928918
25.376252,37,1.935898
25.154343,50,1.945285
22.887773,30,1.95096
23.060259,29,1.956467
27.915264,40,1.963989
27.80612,50,1.973421
26.810093,42,1.981319
30.333032,50,1.990715
28.889638,50,2.000117
22.641535,28,2.005418
20.692086,26,2.010344
29.005003,45,2.018808
26.611935,50,2.028244
38.970726,50,2.037625
25.303456,35,3.178338
27.741965,41,3.186275
29.198327,45,3.194894
20.764104,25,3.199683
20.352326,24,3.204343
28.4256,40,3.211936
23.065636,29,3.217463
29.886533,50,3.226905
20.548137,27,3.232049
