#{"t_start": 1764065468.4638422, "env_id": "None"}
r,l,t
23.355934,50,0.063004
27.70898,50,0.085177
29.421064,50,0.106806
28.839551,46,0.127809
29.594061,48,0.147964
23.205654,50,0.169397
27.747941,46,0.18871
27.946557,50,0.209782
26.297558,50,0.231867
27.475923,44,0.251254
27.655124,50,0.274493
24.969462,50,0.296273
26.753856,41,0.313789
23.381565,33,0.328253
26.784288,50,0.349389
26.43889,50,0.371726
23.304655,35,0.386841
25.841865,50,0.408051
25.417067,37,0.423637
25.583988,50,0.445117
27.205693,41,0.463415
27.224043,46,0.484027
25.563008,50,0.561735
29.799184,50,0.598043
26.525457,50,0.625225
23.437488,34,0.644037
28.614116,50,0.670093
26.62303,50,0.695927
23.904847,50,0.723558
27.301326,50,0.748215
27.31427,50,0.772568
20.657859,25,0.784952
28.178175,50,0.811443
24.570695,34,0.82599
27.739909,44,0.845157
29.930317,48,0.866278
24.210603,31,0.879358
28.98814,48,0.90029
24.433317,39,0.916079
27.512793,50,0.937356
30.182014,48,0.95814
26.546951,43,0.97686
22.594432,29,0.988343
29.724288,49,1.009345
24.175694,50,1.031901
30.042439,50,1.05329
21.656718,27,1.065495
21.972297,32,1.078665
22.885378,29,1.091312
27.255852,42,1.108779
27.888437,40,1.125917
25.717558,38,1.142527
23.625435,33,1.155852
24.908171,35,1.170767
29.139198,50,1.192035
21.719729,30,1.204821
21.458802,29,1.217552
29.54306,48,1.23974
27.155659,41,1.25717
27.693158,50,1.278323
20.619637,28,1.290749
29.148365,50,1.31189
20.27717,24,1.321216
22.26741,28,1.333487
39.503733,50,1.354586
30.660148,50,1.37588
21.075734,28,1.388181
24.582123,37,1.403378
29.036232,48,1.424132
24.400729,35,1.438894
21.396818,25,1.450754
23.567921,50,1.472024
28.798226,50,1.493325
29.439024,49,1.513271
29.551652,44,1.532071
21.770285,29,1.544612
29.876686,50,1.565685
22.535005,29,1.578121
28.782944,46,1.597431
30.322321,50,1.618664
24.925283,37,1.634105
22.61886,50,1.655542
27.408247,50,1.677679
29.70041,50,1.698714
21.890699,30,1.711487
28.445701,44,1.730303
26.247246,50,1.751579
25.871249,37,1.76883
27.378501,41,1.786042
24.331804,32,1.79928
29.289069,46,1.818605
28.832464,48,1.839378
29.182858,42,1.85677
24.98784,34,1.872804
27.889052,50,1.894253
30.640393,49,1.915288
24.725783,34,1.929824
27.545569,42,1.947184
21.617984,28,1.959516
29.092939,50,1.980625
28.165159,50,2.001761
23.296559,30,2.014399
27.061646,39,2.031072
26.023273,36,2.045986
24.119853,32,2.05915
28.618393,50,2.080288
27.096208,50,2.102911
21.645105,50,2.124141
29.862214,50,2.145328
29.355594,50,2.166428
29.999785,50,2.187402
27.587719,39,2.204154
30.411797,50,2.225181
25.16061,38,2.241977
28.541057,43,2.259513
22.76194,28,2.271829
25.714486,38,2.287204
27.603685,50,2.309249
27.250434,38,2.325796
28.871315,50,2.346884
28.495715,42,2.364105
26.443614,35,2.379894
29.929363,50,2.40199
27.865149,50,2.423265
27.801941,50,2.444453
30.85505,50,2.46571
40.791245,50,2.487131
26.514311,37,2.503354
28.245348,43,2.521836
26.60703,35,2.536895
31.039748,50,2.558031
23.462854,32,2.572151
20.742568,23,2.581255
25.524352,33,2.595679
42.953684,50,2.616929
29.574612,50,2.638178
43.07983,50,2.659344
26.455478,34,2.674001
27.701541,38,2.689337
31.354807,50,2.71042
32.014425,48,2.732005
29.385856,42,2.749539
31.985221,49,2.770627
27.08717,37,2.786838
31.579803,45,2.806003
26.161526,33,2.81941
