Algorithm,Best Final Reward,Mean Final Reward,Std Final Reward,Mean Convergence Episodes,Mean Stability Score,Number of Runs
DQN,50.310869,34.21690426829268,9.049612483817748,1057.658536585366,9.771198410158895,41
PPO,78.695304,49.2360173,12.267366627093429,771.275,23.142221197663737,40
A2C,61.436635,37.033934925,12.836151209548188,1005.05,129.80390447506292,40
REINFORCE,77.578576,49.12478767500001,12.026270087841008,638.425,10.173564928085721,40
