#{"t_start": 1764147640.291181, "env_id": "None"}
r,l,t
45.504089,49,0.015181
51.001943,60,0.026831
45.04464,47,0.035887
43.826823,51,0.045616
48.104329,60,0.057125
37.199105,31,0.063077
42.88921,42,0.071102
38.566614,33,0.077445
45.444029,60,0.088815
43.994531,42,0.096857
48.755975,60,0.108998
43.245991,47,0.11811
45.072492,47,0.127181
49.732598,57,0.138125
51.843117,59,0.149437
43.237281,39,0.156944
46.435844,57,0.167874
45.933544,50,0.177481
46.358066,50,0.187078
43.104062,60,0.198561
41.478192,39,0.20611
67.476202,60,0.217584
48.506656,60,0.229072
41.719827,60,0.240522
45.90136,60,0.251987
40.65523,38,0.259276
48.572583,60,0.270733
40.813822,40,0.278487
44.847314,51,0.288874
51.492934,60,0.301872
47.406383,50,0.313931
48.804954,60,0.327134
36.572628,28,0.333336
42.153099,60,0.34923
40.292789,37,0.357617
50.424316,60,0.373222
42.195656,40,0.382127
48.348332,55,0.394191
44.411541,46,0.404296
43.954003,42,0.413505
49.226933,53,4.6727
43.652564,42,4.681085
46.610001,46,4.690049
44.623012,60,4.701642
36.920643,29,4.707301
44.604786,44,4.715837
42.348766,37,4.723007
37.40376,29,4.728632
46.160146,48,4.737884
39.69636,35,4.744663
34.966046,24,4.749329
41.008783,39,4.756827
42.874973,41,4.764733
36.407386,27,4.769953
51.097867,58,4.781082
34.798195,24,4.785724
40.332715,36,4.792671
43.438744,43,4.800954
39.259367,33,4.807301
34.107809,24,4.811966
39.078457,29,4.817591
48.853016,55,4.82814
36.547844,28,4.83356
39.23258,36,4.84048
35.951852,28,4.845905
37.089351,29,4.851537
43.940533,43,4.859791
37.339825,29,4.865378
34.596062,25,4.870209
47.314711,49,4.879618
36.218332,33,4.88597
49.283784,53,4.89616
42.529528,43,4.904425
32.393566,26,4.909454
34.991882,29,4.915078
43.749391,42,4.923161
41.556006,39,4.930677
46.829481,60,4.942228
43.813342,42,4.950331
44.646239,46,4.95919
43.817491,43,4.967421
40.094941,36,4.974352
42.636256,46,4.983149
40.344687,40,4.990821
46.070924,44,4.9993
34.719621,25,5.004145
38.886589,35,5.010907
38.078062,30,5.0167
47.940898,51,5.026493
40.494786,36,5.033465
49.223492,60,5.045
33.848286,24,5.049632
39.603437,34,5.056185
37.898051,32,5.062344
36.87228,29,9.225767
39.20652,33,9.232517
45.420255,39,9.240114
38.610971,31,9.24619
46.140236,46,9.255169
44.477136,40,9.262918
41.879468,38,9.270241
39.273397,31,9.276266
42.06312,36,9.283193
52.473932,55,9.293762
35.125897,25,9.29861
39.39094,32,9.304799
40.842034,35,9.311549
34.139131,23,9.31605
30.840174,18,9.319557
31.449691,20,9.323503
30.951901,17,9.326815
39.070134,33,9.333185
36.58983,29,9.338771
40.495398,38,9.346081
40.399993,32,9.352258
39.352108,35,9.35901
32.67803,20,9.362893
41.600412,35,9.369627
40.809123,33,9.375973
44.198869,40,9.383642
33.547945,23,9.388112
32.155674,23,9.392569
37.623812,29,9.398148
34.161058,22,9.402411
38.670026,32,9.408555
38.460605,30,9.41436
34.175768,23,9.418786
38.052445,31,9.424772
39.313802,30,9.430547
37.368973,30,9.436381
38.120281,31,9.442355
30.008472,17,9.445673
37.785506,32,9.451849
36.121696,29,9.457452
36.390544,29,9.463034
38.285908,32,9.469189
46.79563,47,9.478216
30.038267,15,9.481118
40.795815,34,9.48763
40.183809,31,9.493591
45.207804,40,9.501266
39.613743,36,9.508183
37.725841,30,9.51398
36.60101,28,9.519468
48.013298,50,9.529159
37.652022,28,9.534619
49.647444,52,9.544664
34.100676,22,9.548978
38.542899,31,9.555006
43.422257,42,9.563125
35.18634,26,9.568178
38.268383,31,9.574221
37.729561,28,9.579678
