#{"t_start": 1764075266.581244, "env_id": "None"}
r,l,t
38.967159,35,0.008187
43.094589,60,0.015703
44.937435,60,0.023071
46.53356,53,0.029568
51.473604,60,0.036948
38.476308,60,0.044274
45.477643,46,0.049926
45.644334,47,0.055681
49.594194,60,0.063244
40.532373,40,0.06835
46.249389,60,0.075789
49.985682,59,0.083059
45.888786,49,0.089116
67.228033,60,0.096515
45.817465,60,0.104143
34.072242,27,0.107622
47.098265,52,0.114057
43.967173,45,0.119629
47.250231,49,0.125638
46.771802,47,0.131431
46.854348,48,0.137326
51.243296,59,0.144519
45.539815,60,0.151832
45.93747,60,0.159172
35.328846,30,0.162899
41.986173,40,0.167814
43.319204,60,0.175107
44.04782,44,0.18048
38.694,35,0.184833
48.58267,54,0.192195
46.630323,49,0.198285
45.215087,52,0.204655
39.99682,36,0.209066
36.445916,30,0.212776
43.512173,60,0.220096
43.216539,44,0.225458
45.8371,52,0.231807
45.705309,47,0.237542
45.714506,60,0.244815
50.877332,57,0.251757
45.353552,60,1.691143
48.74433,51,1.69755
47.29611,49,1.703641
45.040641,47,1.709459
34.489706,24,1.712452
47.180917,60,1.719796
45.103087,46,1.725441
38.151348,28,1.728895
50.62157,54,1.735499
46.959047,48,1.741376
38.488325,33,1.745426
40.397799,37,1.749964
43.895244,43,1.755223
34.032705,24,1.758196
40.191325,39,1.76303
47.999954,50,1.77049
38.847166,33,1.774974
38.352675,37,1.779766
39.661024,37,1.784486
41.86024,39,1.789461
46.903294,47,1.795579
38.233193,29,1.799366
37.937593,29,1.804119
47.352456,60,1.811922
36.06215,36,1.816488
41.178282,38,1.82409
42.613661,41,1.829977
48.148464,48,1.83611
40.32906,36,1.840752
42.338556,41,1.846009
40.507726,33,1.850229
38.695599,31,1.854406
43.203356,43,1.859725
45.242639,49,1.865748
43.64094,42,1.870905
38.729399,34,1.87506
44.698106,44,1.880521
38.329255,36,1.884987
38.939301,35,1.889289
47.505873,47,1.895064
37.027118,33,1.89913
43.751533,42,1.904279
49.818189,54,1.910889
41.740337,37,1.915507
35.003401,27,1.91885
39.528531,38,1.923532
32.317057,22,1.92624
40.561664,36,1.930709
39.536878,33,1.936757
37.348304,32,1.945979
45.936893,47,1.960276
46.136526,49,1.968028
37.435326,28,3.360916
29.288044,15,3.362878
31.111186,18,3.365159
34.320716,23,3.368046
42.462027,37,3.372643
44.183683,43,3.377984
40.15579,33,3.382112
38.98672,32,3.386056
35.638158,28,3.3895
41.722664,35,3.393809
37.725816,32,3.397734
38.486348,30,3.4014
39.848614,33,3.405437
47.961857,49,3.411427
32.078913,19,3.413779
36.703006,30,3.417536
46.365069,46,3.423166
38.485545,29,3.426735
43.868346,40,3.431614
41.472236,39,3.436383
36.465322,26,3.439574
35.637782,28,3.443003
43.551554,41,3.448007
37.45934,31,3.451783
34.256529,24,3.454721
39.083256,33,3.45875
38.182707,31,3.46253
40.493864,33,3.466571
36.520306,30,3.470244
51.270034,57,3.477188
37.781104,31,3.481021
34.310267,24,3.485929
43.136164,42,3.491078
36.529145,30,3.494781
36.389282,27,3.49813
38.712813,31,3.502002
38.79688,32,3.505964
32.121819,22,3.508691
40.350582,33,3.512762
37.82897,34,3.516946
34.667135,24,3.519909
45.50418,48,3.525769
37.123227,29,3.529391
32.740678,21,3.532018
47.923918,48,3.53788
39.234355,33,3.541931
36.668445,29,3.545495
32.030035,19,3.547848
34.671046,25,3.550935
37.798781,30,3.554628
32.973797,20,3.557119
37.471124,28,3.560595
33.077277,22,3.563346
33.218703,21,3.565959
38.54629,29,3.569553
35.724014,27,3.57287
30.565807,17,3.574994
39.135322,33,3.57907
43.804006,44,3.584465
39.143143,33,3.588532
37.054951,34,3.592708
31.054904,16,3.594703
40.956839,35,3.599064
36.202292,26,3.602291
35.628498,26,3.605498
33.677928,23,3.608353
35.05213,27,3.61168
41.943362,35,5.008522
40.892318,34,5.012815
38.180382,29,5.016422
38.818177,30,5.020189
36.293559,27,5.023539
35.522171,27,5.026872
33.189747,20,5.02933
31.928282,20,5.031791
36.513677,28,5.035228
36.057406,24,5.038182
35.953793,27,5.041487
39.074968,32,5.045396
35.821204,25,5.048476
41.075977,35,5.052747
32.986542,21,5.055325
44.334816,38,5.05995
36.907879,30,5.063609
40.588745,33,5.067645
35.122762,24,5.070565
29.969558,17,5.072713
42.038303,36,5.077115
34.830854,24,5.080056
37.24125,27,5.083358
48.901682,49,5.08929
36.272427,26,5.092462
39.970769,36,5.096885
32.94217,20,5.099334
33.8845,24,5.102276
37.792402,28,5.105703
30.207762,16,5.107687
42.576244,37,5.112187
29.111269,13,5.113794
32.943067,20,5.116242
38.370165,28,5.119657
41.202322,33,5.123694
40.732537,34,5.127849
50.521556,50,5.133926
29.682271,15,5.13577
36.352652,27,5.139065
34.753878,23,5.141865
35.953333,26,5.145041
31.994268,17,5.147125
42.14563,39,5.151859
33.199709,21,5.154429
36.602137,26,5.157589
39.11082,34,5.161717
43.880454,38,5.16633
31.978574,19,5.168653
39.675477,34,5.172773
31.525627,18,5.174983
30.155605,20,5.177439
34.432665,22,5.18013
32.428836,20,5.182576
36.70651,25,5.185643
34.040486,22,5.188327
35.367257,26,5.191497
31.084502,16,5.193457
38.687869,31,5.197227
36.250364,24,5.200159
38.171694,27,5.203437
39.690292,31,5.207227
