#{"t_start": 1764147259.3525708, "env_id": "None"}
r,l,t
37.332536,30,0.011783
40.699014,41,0.019989
45.449699,60,0.031734
50.612973,60,0.043468
47.630495,47,0.05266
48.039075,60,0.064342
45.091443,48,0.073656
52.514829,58,0.084869
45.730337,51,0.094742
41.627783,42,0.10289
44.464992,60,0.115141
46.856626,60,0.127535
48.252389,60,0.13934
42.852263,37,0.146611
47.730995,60,0.158344
48.167427,55,0.169094
48.795741,52,0.179228
44.554168,49,0.18881
48.179558,60,0.200468
48.740781,55,0.211239
49.244224,60,0.222893
37.564698,35,0.229768
50.596631,56,0.240721
37.709164,41,0.248717
34.742889,26,0.253817
46.196535,47,0.262998
48.297056,50,0.27276
43.948316,60,0.284448
47.163373,49,0.29401
46.505274,47,0.30319
47.678019,60,0.3149
35.67111,60,0.326582
38.226923,33,0.333097
42.903217,44,0.341867
48.429739,60,0.353665
45.70599,50,0.363546
38.917364,34,0.370326
49.962861,59,0.381963
40.631733,38,0.389422
44.609984,42,0.397618
50.519299,56,1.557648
45.361726,43,1.566312
51.902203,59,1.577831
44.187768,44,1.586429
39.556669,31,1.592496
36.092896,28,1.597974
43.063594,41,1.605944
35.637212,28,1.61141
43.59576,46,1.620342
43.931333,41,1.628291
31.591392,22,1.632597
47.259605,52,1.642669
43.73893,42,1.650804
40.084341,34,1.657411
50.495967,60,1.669003
50.128979,58,1.680199
37.182164,30,1.686029
36.89598,31,1.692045
41.830839,38,1.699406
37.538121,31,1.705402
37.153926,31,1.711411
39.420477,31,1.717402
36.738732,29,1.723025
49.044896,52,1.733042
40.77782,34,1.739628
36.973536,32,1.745833
40.228171,39,1.753363
42.868875,42,1.761505
45.970615,60,1.773012
36.162879,27,1.778246
38.773979,32,1.784415
51.347789,54,1.794773
44.565353,41,1.802668
39.940398,35,1.809412
51.765191,58,1.820533
43.577856,39,1.828046
43.741631,46,1.836899
50.592801,57,1.847861
30.754094,19,1.851557
45.635661,42,1.859642
48.629908,45,1.8683
47.104921,60,1.879812
45.772699,44,1.888298
41.311317,36,1.895244
36.788813,31,1.901253
36.8247,30,1.907058
39.487044,38,1.914339
37.35517,30,1.920142
43.768487,44,1.928611
40.120764,33,1.934965
46.426586,50,1.944536
39.739152,34,1.951088
51.886563,55,3.071156
36.999313,25,3.076138
46.97718,44,3.084747
52.040891,60,3.09645
69.3312,60,3.108124
51.61847,60,3.119776
47.057918,45,3.128541
47.240747,60,3.140187
46.233156,45,3.148931
37.440536,27,3.154246
46.426612,60,3.165902
46.43312,46,3.17485
43.245916,60,3.186507
50.744354,52,3.197177
49.423708,53,3.207624
46.706693,60,3.219293
50.906812,60,3.230948
51.672503,60,3.242631
44.666906,42,3.250788
48.176832,49,3.260289
50.161418,51,3.2702
38.351073,34,3.276825
47.491171,45,3.285578
48.921092,51,3.295461
43.763865,38,3.302853
