#{"t_start": 1764062667.014247, "env_id": "None"}
r,l,t
27.613812,50,0.017216
27.864916,46,0.027997
23.507307,35,0.036151
26.80077,44,0.04647
24.150055,50,0.058012
20.236838,27,0.064231
27.005167,50,0.075826
23.843148,35,0.083947
28.310185,50,0.095533
28.671282,50,0.107533
26.822201,50,0.119277
25.230386,50,0.130927
27.516281,50,0.142514
30.278341,50,0.154101
22.526859,31,0.16135
25.923706,41,0.170815
28.386095,50,0.182393
26.747046,50,0.19393
28.810376,50,0.205534
24.499411,50,0.217128
22.7281,34,0.225064
23.883491,50,0.236539
29.550205,50,0.248107
27.265393,45,0.258504
29.202125,50,0.270006
28.389012,50,0.281544
26.86156,43,0.291524
24.150849,50,0.303047
24.549273,50,0.314537
28.410998,50,0.326096
21.985023,33,0.333696
27.082433,40,0.342887
27.457981,50,0.354347
23.893727,31,0.361487
25.749739,50,0.372964
22.972107,33,0.380531
26.584204,50,0.392052
24.891811,41,0.401465
30.036187,49,0.41273
27.875912,50,0.424298
27.908322,40,0.433568
22.378952,28,0.440001
27.33378,50,0.451474
26.779128,50,0.462988
24.617708,50,0.474451
25.322634,41,5.951001
23.257012,32,5.958632
23.232785,50,5.970114
30.024468,50,5.981603
29.572247,46,5.99216
25.91641,38,6.000877
27.310454,50,6.012727
30.735066,49,6.02393
41.82267,50,6.035308
29.174023,50,6.046702
25.330662,36,6.054981
28.205343,50,6.06653
24.317182,33,6.074132
26.647878,40,6.083337
26.748606,50,6.094798
21.055937,25,6.100516
28.425028,50,6.111965
27.72555,43,6.121795
27.294677,50,6.133237
26.969346,41,6.142672
27.526625,42,6.152316
27.482071,50,6.163762
22.885324,29,6.170398
29.464398,50,6.181861
28.023722,50,6.193283
39.300025,50,6.204683
29.022487,50,6.216164
23.68899,35,6.224183
19.296286,21,6.229016
20.503379,24,6.234503
21.487653,27,6.24068
27.292032,50,6.25214
29.58369,50,6.263597
30.028301,49,6.274755
27.807256,50,6.286195
29.710893,45,6.29649
28.078769,43,6.306282
26.742922,50,6.3177
24.409757,33,6.325257
29.831784,50,6.336678
28.11205,42,6.346268
26.373932,37,6.354763
22.045244,29,6.361451
28.967847,50,6.372914
26.651657,43,6.382735
31.434361,49,6.393937
26.155719,39,6.402924
25.69582,50,6.414329
25.551527,36,11.788816
27.203645,43,11.798981
26.941819,37,11.807547
26.026198,36,11.815857
24.074678,34,11.823667
24.660873,35,11.831685
30.567005,46,11.842241
27.802514,43,11.852087
29.740004,46,11.862639
27.733494,41,11.872039
24.766308,33,11.879633
29.445929,47,11.890433
29.417916,44,11.900498
27.879176,41,11.909891
25.242274,36,11.918142
21.462665,25,11.923878
29.969572,45,11.934221
29.728716,43,11.944039
25.49657,35,11.952052
26.845177,38,11.96072
25.986429,39,11.969631
25.33192,38,11.978332
24.131199,30,11.985209
22.219004,27,11.991443
24.968172,36,11.999643
21.495533,28,12.00607
19.284219,23,12.011334
22.337462,29,12.01797
27.090646,41,12.02734
28.715597,44,12.037758
30.805698,49,12.048984
24.480211,33,12.056556
20.478451,23,12.061802
24.231725,34,12.069528
19.417264,21,12.074359
32.380345,48,12.085273
26.995267,38,12.093946
22.425703,28,12.100374
24.927308,36,12.108596
24.669594,37,12.117047
29.226688,42,12.126712
29.582513,44,12.136796
22.821724,30,12.143688
25.492903,34,12.151463
19.753609,22,12.156527
29.632831,41,12.165882
22.749879,32,12.173247
23.584414,30,12.180124
26.34233,42,12.189772
23.750864,32,12.197108
28.729966,40,12.206283
25.046276,50,12.217715
25.387126,33,12.225295
20.500415,28,12.231726
30.535605,47,12.242484
28.085427,40,12.251665
26.540568,35,17.62844
26.515178,50,17.640146
28.633849,41,17.649775
25.716114,37,17.65838
20.553052,23,17.663741
25.303584,50,17.675314
30.128335,42,17.685049
22.133236,26,17.691117
42.535741,50,17.702671
24.756844,34,17.710558
31.818799,50,17.722124
23.538892,31,17.729291
26.831289,36,17.737638
32.280087,50,17.749197
30.216895,43,17.759134
30.725421,50,17.770712
25.766304,33,17.7784
27.022584,50,17.789895
24.973995,33,17.797525
24.634698,31,17.804703
19.861023,23,17.810062
20.875246,23,17.8154
30.509952,46,17.826035
21.182131,26,17.832039
21.252135,29,17.838761
25.755762,38,17.847646
26.643122,38,17.856425
25.667771,36,17.864719
25.752072,35,17.872822
23.869895,35,17.880882
26.437676,36,17.889221
23.270358,30,17.896118
29.63317,42,17.906721
25.763645,35,17.914932
31.247263,50,17.926453
22.53229,26,17.932488
28.101824,39,17.941567
30.866342,48,17.952663
18.23337,18,17.956846
26.396412,35,17.964969
29.614428,50,17.97655
23.608866,30,17.98348
29.261376,44,17.993574
28.847096,40,18.002838
20.397488,23,18.008147
31.579863,48,18.019204
24.444843,32,18.026591
31.2259,45,18.036962
24.931955,34,18.044809
23.13899,27,18.051043
30.389199,50,18.062867
28.987939,44,18.073004
31.718907,49,18.084267
24.738932,35,18.092361
24.661436,31,23.471964
32.245535,49,23.4836
31.248051,50,23.49528
30.714283,47,23.506163
30.014836,50,23.517728
32.612589,50,23.529265
32.380812,50,23.540849
30.424535,43,23.550821
27.824385,50,23.56237
30.120522,50,23.573914
30.732826,50,23.585436
26.320122,36,23.593805
30.486025,50,23.605339
28.158555,38,23.614143
30.26168,45,23.624518
33.268675,50,23.636021
25.52656,33,23.643622
32.314981,47,23.654473
31.07102,50,23.666044
26.417774,36,23.674373
27.641771,38,23.683142
32.538578,50,23.694733
19.907083,21,23.699612
28.554022,38,23.708367
32.625924,50,23.71989
30.00555,43,23.729889
33.306906,48,23.740937
33.874748,50,23.752502
23.049577,27,23.758815
20.993697,24,23.764398
28.21006,39,23.77343
31.365938,47,23.784303
43.481494,50,23.795886
22.974299,30,23.802861
31.454456,50,23.814428
31.546775,50,23.825957
30.943486,50,23.837486
31.240014,50,23.849028
25.264219,32,23.856453
30.255126,50,23.867974
32.929207,50,23.879463
27.032327,50,23.891023
33.229807,50,23.902581
29.458884,42,23.912258
28.304732,39,23.921225
31.788194,50,23.93278
28.449285,44,29.294606
32.536555,50,29.306557
31.503074,46,29.317258
29.555075,50,29.328783
44.087196,50,29.340347
27.717135,37,29.348956
32.155831,50,29.360445
31.480306,43,29.37036
31.119691,50,29.381867
44.746504,50,29.393379
29.611229,43,29.403263
30.02723,50,29.414774
45.40342,50,29.426256
31.751662,50,29.437734
30.255572,50,29.44923
31.91243,50,29.460722
27.932429,50,29.47308
29.477164,44,29.483497
23.79883,29,29.490267
27.662712,50,29.501978
31.088971,50,29.513538
