Run_ID,Final_Reward,Learning_Rate,Gamma,N_Steps,Entropy_Coef,Batch_Size
run_3,78.695304,0.0003,0.98,256,0.01,N/A
run_2,78.695304,0.0001,0.99,128,0.01,N/A
run_9,78.695304,0.0003,0.99,256,0.0,N/A
run_5,78.695304,0.0001,0.98,256,0.0,N/A
run_4,78.695304,0.0005,0.99,256,0.01,N/A
run_8,78.695304,0.0001,0.98,128,0.0,N/A
run_10,78.695304,0.0005,0.99,128,0.01,N/A
run_7,78.695304,0.0005,0.99,128,0.01,N/A
run_6,78.695304,0.0001,0.98,128,0.01,N/A
run_1,78.695304,0.0003,0.99,256,0.0,N/A
