#{"t_start": 1764062259.960038, "env_id": "None"}
r,l,t
22.255154,50,0.015759
25.436312,37,0.023078
21.810867,29,0.028758
28.366859,50,0.038467
21.785929,30,0.04431
24.922714,50,0.054071
28.250851,48,0.063448
27.430088,50,0.073167
24.766671,50,0.082841
23.503902,50,0.092474
25.276901,50,0.10215
25.510346,50,0.111895
24.606172,34,0.119345
26.30729,43,0.128518
21.588747,28,0.134935
38.500494,50,0.178183
28.490601,50,0.190581
25.606649,50,0.201844
26.924737,50,0.211653
27.168283,50,0.221378
26.248409,41,0.229567
27.553745,46,0.238573
27.835266,49,0.248492
25.397833,50,0.258358
22.934867,36,0.26547
26.980803,50,0.27552
22.424285,50,0.285382
23.430553,50,0.295283
28.079586,50,0.305074
24.983931,50,0.315416
24.76646,36,0.323345
24.634478,38,0.331245
26.199926,50,0.341138
29.090572,48,0.350626
23.881651,33,0.357108
28.73086,50,0.366728
28.86578,50,0.376443
24.92028,50,0.386033
29.624692,46,0.394948
27.119713,50,0.404531
26.584915,50,0.414117
26.146569,43,0.42232
26.177162,50,0.431894
25.305259,37,0.439034
24.182963,39,0.446531
27.904984,39,4.94498
16.534001,14,4.947853
28.970405,50,4.957688
21.149237,28,4.963167
27.275934,50,4.972956
27.471443,41,4.98094
24.895138,36,4.987972
23.900493,38,4.995349
25.890184,40,5.003121
25.364753,39,5.010776
24.005203,36,5.017744
27.35128,41,5.025714
28.934158,50,5.035398
40.359993,50,5.045038
20.490054,27,5.050272
27.585626,45,5.05998
22.871179,29,5.065859
24.707787,38,5.073459
25.039909,35,5.080382
18.855107,24,5.085096
22.545307,30,5.091006
25.239706,36,5.098061
27.743033,44,5.106808
29.967806,50,5.116756
27.237749,42,5.125094
30.456127,48,5.134484
23.968074,35,5.141307
27.391357,42,5.149473
27.540253,44,5.157981
21.619955,31,5.163982
28.106973,43,5.172321
29.167468,50,5.182089
24.326585,35,5.189262
28.33144,50,5.199101
22.3013,28,5.204807
29.318365,50,5.214619
40.409734,50,5.224401
23.380661,33,5.230806
40.821869,50,5.240579
23.670439,32,5.246809
26.147823,50,5.256493
27.282761,41,5.264458
28.273756,43,5.272736
28.278281,47,5.281818
29.430625,50,5.29149
25.121606,39,5.299029
27.527567,50,5.308699
28.295985,50,5.318331
29.588606,45,5.32703
22.676581,32,5.333213
23.174536,32,5.339482
24.349963,36,9.976095
24.137905,33,9.982715
22.236535,26,9.987883
29.104881,50,9.998951
24.173561,36,10.006308
21.804888,28,10.012228
24.012321,32,10.018633
25.432134,33,10.025195
24.443362,35,10.032514
26.946106,50,10.042597
28.508024,40,10.051992
28.162644,42,10.061129
30.052264,50,10.071376
27.488022,50,10.081963
25.993663,37,10.089387
24.16163,32,10.095723
20.877295,23,10.100198
24.642365,34,10.106913
20.67177,25,10.112112
26.898438,38,10.119645
23.409789,30,10.1257
25.525082,39,10.133336
19.133778,19,10.137279
26.746613,50,10.147291
19.378215,22,10.151607
20.342456,26,10.156704
29.367121,48,10.16611
28.650933,42,10.174378
30.836124,50,10.18413
19.446398,23,10.188677
24.375086,37,10.195912
27.443871,41,10.203892
24.382642,36,10.210895
27.734649,40,10.219947
25.693475,38,10.227932
24.08015,32,10.234591
21.278089,26,10.239845
20.719243,25,10.244849
25.302703,37,10.252256
29.232389,43,10.261636
29.496057,50,10.271924
28.695624,50,10.282479
28.765252,50,10.292352
28.290512,44,10.301222
27.352441,42,10.309513
22.635695,31,10.315585
25.76874,37,10.323733
22.399155,29,10.3297
30.988441,48,10.339188
26.057634,37,10.346428
30.019173,43,10.354911
25.290977,36,10.361981
27.419753,44,10.370683
26.553792,43,10.380103
29.515683,50,14.929038
22.055303,28,14.934645
21.521565,25,14.939596
28.749038,50,14.949313
30.608241,45,14.958074
24.480424,32,14.964295
29.522262,42,14.972435
26.153025,39,14.979966
20.979558,25,14.98482
21.577891,27,14.99007
30.280443,50,14.99972
21.990332,25,15.004633
31.533969,49,15.014057
27.467612,50,15.023758
23.281212,31,15.030292
25.760374,35,15.037248
25.739022,35,15.044143
29.280099,50,15.053911
30.496266,48,15.063241
26.845917,37,15.070422
27.556093,41,15.079025
19.813614,23,15.083657
24.822958,33,15.090104
28.055103,40,15.09794
30.945326,50,15.10767
28.85055,44,15.11622
25.32512,34,15.122871
29.30717,45,15.131558
28.620055,50,15.141208
27.845565,40,15.149417
25.692236,36,15.156541
18.876099,19,15.160315
21.159325,25,15.165254
24.247832,32,15.171525
30.169262,50,15.181239
42.643536,50,15.190968
27.948498,41,15.198931
22.766107,30,15.204803
31.264035,46,15.213686
29.016747,50,15.223371
24.440534,33,15.229794
29.017848,50,15.239485
32.395569,50,15.249152
29.495872,44,15.257696
21.758701,29,15.263333
29.943228,48,15.272608
22.509315,27,15.277918
30.537033,46,15.286847
25.605053,35,15.293643
29.260434,43,15.301972
24.708552,34,15.308597
25.321204,35,15.315411
27.271473,50,15.325096
27.597919,40,19.679664
26.188283,50,19.693728
29.43002,47,19.702951
28.687406,50,19.712794
28.727404,50,19.72258
27.272922,50,19.732365
28.697987,50,19.742032
41.626224,50,19.751758
25.798985,35,19.758558
21.138356,25,19.763418
31.045035,50,19.773237
27.61805,39,19.780784
31.018149,47,19.78989
25.618703,33,19.796273
26.035813,35,19.803066
22.602682,29,19.808712
29.647821,50,19.818356
29.193664,50,19.828028
26.36589,36,19.834996
28.06304,50,19.84468
27.859376,44,19.853163
23.997033,33,19.859578
30.650275,50,19.869225
29.455683,50,19.878832
41.441092,50,19.888508
27.592516,50,19.898222
28.81712,50,19.907881
30.006615,46,19.916771
30.323267,50,19.926432
29.542144,45,19.93507
31.044326,45,19.943785
31.22964,48,19.953052
28.281077,38,19.960426
28.790461,50,19.970045
29.682874,50,19.979666
28.766225,42,19.98775
29.516173,46,19.996594
23.337132,31,20.00269
29.672219,50,20.012362
20.597418,24,20.017054
31.447945,47,20.026084
30.754165,50,20.035721
29.963066,50,20.045345
31.684115,49,20.054765
25.522034,36,20.061707
25.231891,34,20.068329
27.478937,36,24.484342
31.194979,50,24.494359
28.581111,50,24.504164
30.926824,50,24.513987
42.100783,50,24.523845
28.489741,38,24.531308
25.690079,36,24.538424
32.43064,50,24.548399
41.14798,50,24.558226
31.440825,47,24.567865
31.360837,43,24.576852
31.268855,48,24.586818
26.503688,38,24.594517
31.022678,47,24.603877
30.142579,42,24.612185
29.723997,50,24.62196
29.217525,50,24.631671
28.661284,39,24.63922
28.96419,50,24.648879
43.28054,50,24.658582
31.692668,50,24.668258
28.906909,41,24.676168
29.725221,50,24.687113
25.933543,33,24.693897
42.13622,50,24.703716
29.955149,50,24.726951
27.726949,39,24.758368
27.191104,37,24.780036
31.052978,44,24.810629
26.946693,40,24.820979
30.840405,43,24.832483
32.323029,50,24.846621
27.939962,42,24.859937
32.575267,50,24.88394
32.685193,49,24.976374
31.374542,47,25.004913
29.005246,50,25.032677
31.519611,50,25.06842
30.839942,47,25.103088
29.235679,50,25.145941
29.848604,50,25.183193
28.812566,50,25.222285
33.109251,49,25.25352
30.819263,44,25.27776
28.702434,42,25.299398
28.405247,38,30.695618
33.222295,50,30.706995
31.938765,50,30.717347
42.391531,50,30.72864
33.950353,49,30.739358
28.538066,42,30.747688
32.103221,50,30.757455
28.311258,40,30.765407
33.580162,50,30.775252
25.202998,32,30.782517
30.270225,46,30.792057
29.211827,42,30.801235
30.972559,42,30.809644
29.614562,41,30.817939
30.155498,50,30.827862
26.849584,37,30.835582
31.37935,47,30.844775
31.635866,47,30.853905
31.66521,50,30.863599
32.61259,49,30.873574
33.237783,50,30.883484
31.402699,50,30.893296
31.93882,48,30.902855
32.42095,46,30.912102
43.507044,50,30.921959
28.418393,43,30.930473
33.087021,50,30.940312
31.270655,46,30.949296
30.034302,44,30.957837
33.09427,50,30.967659
29.859862,42,30.975914
44.335947,50,30.985677
27.323658,39,30.993306
28.893934,41,31.00144
33.200492,49,31.011044
27.563879,42,31.019207
28.913466,40,31.027042
31.821175,44,31.035576
31.178994,50,31.045307
30.798196,44,31.053825
34.272732,49,31.063304
30.619809,50,31.073038
33.716816,49,31.082549
31.779467,50,31.092308
43.149495,50,35.590818
31.694882,50,35.600803
33.240699,50,35.61089
32.957861,50,35.620595
29.925415,41,35.62856
33.518927,50,35.638249
31.884653,43,35.646634
32.720596,50,35.656267
33.188009,50,35.665905
43.823399,50,35.67561
33.23654,50,35.685249
33.220659,46,35.694143
32.635786,50,35.703763
31.728338,44,35.712242
32.648196,48,35.721472
34.112459,49,35.730932
32.334949,46,35.739803
31.321957,43,35.748092
30.059936,42,35.75623
32.668767,50,35.765934
32.060748,50,35.77561
43.816561,50,35.785257
31.806166,50,35.794899
32.597834,50,35.804555
29.966589,39,35.812132
32.80473,50,35.821814
43.757193,50,35.83145
33.232872,47,35.840517
31.693105,47,35.849577
29.117278,40,35.857317
31.517388,46,35.866215
27.254155,36,35.873186
31.350739,43,35.881472
33.87878,50,35.891104
33.633256,50,35.900749
34.075091,49,35.910162
26.515499,34,35.916758
31.163727,45,35.925481
32.064908,46,35.934365
33.132835,50,35.944043
29.964908,40,35.951777
33.797338,50,35.961415
26.143172,34,35.967993
34.611917,48,35.977229
32.367347,48,35.986501
31.141688,42,40.540443
31.186866,43,40.549079
33.355753,50,40.559762
31.982759,42,40.568485
34.170184,48,40.578987
34.725651,49,40.590059
45.524834,50,40.601908
33.94717,46,40.61191
31.74645,45,40.621588
30.095401,40,40.629947
33.57127,50,40.640652
33.066837,47,40.651107
32.04122,50,40.661978
34.26126,50,40.672524
33.014571,45,40.681471
34.307365,49,40.691302
33.109546,44,40.700442
33.728018,45,40.709888
31.596189,44,40.718926
