#{"t_start": 1764074521.0767932, "env_id": "None"}
r,l,t
47.95864,54,0.005799
51.178275,59,0.008158
47.955282,50,0.010128
44.263146,49,0.016098
66.065748,60,0.019126
44.085683,60,0.021512
45.2023,49,0.029313
44.346473,42,0.030987
37.785033,31,0.032748
34.986187,60,0.035094
46.536678,48,0.036969
45.158134,44,0.038699
48.499866,60,0.041526
41.645964,42,0.043179
43.288866,43,0.044882
39.922799,36,0.046305
48.806802,56,0.048928
46.374274,51,0.05094
47.655684,50,0.052893
52.998206,59,0.055193
46.03065,49,0.057532
41.422487,60,0.059916
45.215089,47,0.0618
47.738651,60,0.06421
39.953639,36,0.066105
50.131535,60,0.068519
43.999245,60,0.070875
38.801628,60,0.073234
47.133659,60,0.076063
47.478455,52,0.078146
47.541687,60,0.080526
43.023009,60,0.08289
50.896797,57,0.085512
47.674305,60,0.087859
39.869629,33,0.089198
36.214499,29,0.090475
37.976596,33,0.092262
47.792567,60,0.094591
49.760588,60,0.096924
41.157238,37,0.098383
46.293292,50,0.100763
40.474748,35,0.102161
44.71171,60,0.104506
44.413146,44,0.106245
39.001145,34,0.108011
44.446285,49,0.10997
38.620549,32,0.111267
33.185198,23,0.112226
37.504472,29,0.113788
41.068576,43,0.115516
42.768476,41,0.117171
43.224755,60,0.119579
45.86357,52,0.12211
45.341815,46,0.123935
49.800923,57,0.12618
49.3822,53,0.128245
47.372581,60,0.130985
51.280607,57,0.133235
50.709219,60,0.135585
47.079249,51,0.137563
42.056761,40,0.139557
36.921448,30,0.140765
45.229273,60,0.143113
37.849512,60,0.145446
35.123317,29,0.147005
49.337614,55,0.14917
50.838717,54,0.151268
46.536524,60,0.153594
44.953615,45,0.155782
42.69103,41,0.157401
43.15049,46,0.159194
36.453213,31,0.160429
42.754359,60,0.163328
43.945436,60,0.165671
44.192612,45,0.16743
46.819591,60,0.169755
37.575117,33,0.171489
40.973681,37,0.172962
47.79538,51,0.174962
45.040073,43,0.176637
66.380705,60,0.179389
47.833118,53,0.181497
48.838848,60,0.183851
45.036311,47,0.185684
42.076118,44,0.187835
48.062447,60,0.190217
39.309984,36,0.191646
43.215582,60,0.193981
44.8984,43,0.196092
46.240696,60,0.198443
51.367166,58,0.200732
46.476101,50,0.202677
50.20715,59,0.205422
40.678111,60,0.207811
47.011886,54,0.209973
50.92561,60,0.212371
39.109551,32,0.214088
47.884185,52,0.216138
44.453542,44,0.217891
34.062207,29,0.219081
33.839908,26,0.220557
50.814859,58,0.22287
36.522092,29,0.224034
42.96321,40,0.225632
44.629862,43,0.227786
44.612074,60,0.230203
39.960512,40,0.231825
49.399731,57,0.234145
37.623208,32,0.235869
36.943098,33,0.237217
45.351139,49,0.239139
48.531036,60,0.241471
43.202139,60,0.244235
45.024889,45,0.246019
37.235175,32,0.247309
50.453546,60,0.249694
42.816276,43,0.251811
49.676556,60,0.254176
41.674174,41,0.255813
53.000473,58,0.258084
49.275228,57,0.26079
45.043293,60,0.263177
49.173209,58,0.265454
49.534793,60,0.267778
33.940131,27,0.269281
45.514535,48,0.271177
38.658404,37,0.272637
48.239424,60,0.274978
37.232825,32,0.276648
45.649318,49,0.278566
38.707192,36,0.279993
47.81096,60,0.282312
37.177449,34,0.284079
41.141364,41,0.285686
46.798469,47,0.287528
48.273624,56,0.289704
49.927111,58,0.292352
48.008528,53,0.294412
42.088227,60,0.296745
