#{"t_start": 1764074785.3936262, "env_id": "None"}
r,l,t
50.765482,56,0.035304
43.403,60,0.045583
48.422295,60,0.055734
47.974143,60,0.065783
48.390957,55,0.075206
44.074055,60,0.085223
42.437309,60,0.095191
49.457839,55,0.1046
38.720434,34,0.109969
43.480602,60,0.120775
46.553868,60,0.130931
37.673839,60,0.14101
49.008881,54,0.150309
46.183075,46,0.157749
46.11795,48,0.166334
37.545118,33,0.172132
45.303383,60,0.182106
43.117334,40,0.188787
49.783106,60,0.19881
47.611743,52,0.207053
39.376873,38,0.213503
41.723417,41,0.220342
49.348472,60,0.230345
48.025547,60,0.240329
45.472179,44,0.247497
47.484254,60,0.257496
47.854322,50,0.266234
46.919665,47,0.273793
44.512266,49,0.282556
47.331986,60,0.292532
44.996398,49,0.300358
52.487542,57,0.309993
46.551155,49,0.317789
40.703847,39,0.324344
37.841985,34,0.330287
48.797265,60,0.340771
65.872192,60,0.350801
46.266619,44,0.357963
44.087895,60,0.368784
50.696433,57,0.378485
49.913603,60,0.388429
39.468105,34,0.394394
42.11288,40,0.401075
47.531268,51,0.409133
50.448022,60,0.419093
53.385393,58,0.428776
38.952525,36,0.434944
32.154005,21,0.438414
48.575848,60,0.448291
46.350936,49,0.45607
47.638001,45,0.465252
45.877318,47,0.474382
69.315991,60,0.48506
41.596912,60,0.495132
47.548216,49,0.503716
51.011506,57,0.512501
31.505877,21,0.515975
47.160414,50,0.524684
49.226376,54,0.533895
50.965708,59,0.543713
41.701394,60,0.553656
44.447818,44,0.560826
44.628917,50,0.568731
31.894966,21,0.572217
46.796327,51,0.581082
45.310686,44,0.588265
50.984828,57,0.597871
48.834145,60,0.658131
45.034602,60,0.678798
45.99035,44,0.68655
45.1925,46,0.69426
50.997942,60,0.704839
46.746093,60,0.715255
50.071453,56,0.725205
38.152469,31,0.731313
41.214288,38,0.737835
43.283356,42,0.745163
48.653464,60,0.755396
43.731278,45,0.763041
42.805826,40,0.770643
47.952241,60,0.781177
45.567773,46,0.79161
42.048599,41,0.798658
38.625764,33,0.804527
43.998036,45,0.811984
50.724304,60,0.82203
46.299919,49,0.830741
39.503627,39,0.837343
44.37992,46,0.844774
49.282446,52,0.853738
50.458648,58,0.862681
52.069691,58,0.872415
45.948367,47,0.880755
46.383464,60,0.890761
46.756798,47,0.898333
47.899341,54,0.907608
39.328442,38,0.914022
46.685331,60,0.923981
48.594714,60,0.933959
49.777553,57,0.943533
51.254161,57,0.952352
49.291352,53,0.961454
37.930005,30,0.966868
47.582185,49,0.974678
44.233745,46,0.982087
43.732138,44,0.989226
50.075419,60,0.999155
47.538097,52,1.008141
48.381497,60,1.018135
40.550561,39,1.024721
52.326942,57,1.034326
46.867718,46,1.041761
43.625508,60,1.051749
65.686196,60,1.061745
45.936387,52,1.070745
46.145331,60,1.080718
48.641563,60,1.090676
50.662472,60,1.100617
39.664386,36,1.107585
45.803468,45,1.114936
42.583236,44,1.12211
38.167934,35,1.128125
46.338693,60,1.13802
42.227241,40,1.144659
37.005172,30,1.149229
49.265124,55,1.158484
45.787879,60,1.168346
48.257321,52,1.177217
40.468273,34,1.182276
41.154927,35,1.188265
50.163157,54,1.197437
47.624911,49,1.205144
39.033732,36,1.211252
46.847648,60,1.221098
49.675592,59,1.230904
49.008588,52,1.2398
37.569854,32,1.244619
46.613858,60,1.254515
36.64841,29,1.259759
42.217053,60,1.269604
47.971949,60,1.279451
50.635641,60,1.289298
40.104905,37,1.294696
39.216219,35,1.30066
37.807522,32,1.306255
32.487918,24,1.310081
47.071486,53,1.319086
41.027899,42,1.325907
48.233233,60,1.3357
46.697923,60,1.345493
39.089751,35,1.351401
46.496711,51,1.359356
39.540448,35,1.365296
43.068004,43,1.372213
47.121192,51,1.380858
47.021936,53,1.389
52.652214,57,1.398446
49.565284,60,1.4083
43.06843,43,1.41528
48.165449,54,1.424457
38.701096,33,1.430186
31.847642,20,1.434069
46.681706,50,1.442046
40.169476,34,1.447924
45.833172,50,1.455795
34.826591,27,1.460788
43.818703,60,1.470679
39.897727,38,1.476246
43.387038,38,1.482597
48.613656,49,1.491113
34.918046,25,1.495069
49.779263,60,1.505104
50.757155,58,1.514877
51.456616,60,1.524897
44.060553,46,1.532306
38.758673,32,1.53799
46.347764,49,1.545775
35.621908,28,1.550945
45.605262,60,1.560958
42.385918,37,1.567245
52.071999,55,1.575773
50.705227,60,1.585719
39.72962,33,1.591483
49.770149,55,1.600812
40.807927,39,1.607338
35.461146,28,1.61167
40.026741,37,1.617946
36.974284,29,1.62241
39.652122,32,1.628044
35.20579,24,1.631895
44.286247,60,1.641819
40.134869,33,1.647577
47.670379,53,1.655856
47.68604,51,1.664674
51.180455,60,1.674616
33.24888,22,1.680717
40.154177,34,1.686746
51.086477,53,1.694998
46.383099,46,1.703161
46.805812,48,1.71076
34.595895,25,1.714701
47.725171,60,1.724624
40.629885,34,1.730511
39.24265,33,1.736248
41.318431,38,1.742617
47.339569,52,1.750709
45.199003,45,1.758664
49.733743,53,1.766909
42.785058,41,1.774251
40.576897,37,1.78058
37.918507,32,1.786197
38.956043,35,1.791377
38.554979,31,1.796863
53.479952,58,1.806512
49.454037,60,1.816418
43.065726,44,1.82353
41.04217,36,1.829671
41.208923,41,1.836403
47.034534,60,1.846288
45.08686,44,1.853398
50.832184,55,1.862686
42.382423,40,1.869337
38.278214,35,1.875317
32.693169,24,1.879308
47.156793,46,1.887208
37.288282,29,1.892514
43.015689,40,1.899081
44.85316,44,1.906159
46.086933,48,1.913754
40.981246,38,1.920087
52.12447,59,1.929861
31.750854,21,1.933311
37.50169,31,1.938776
49.508429,53,1.946958
33.770477,21,1.950393
43.065436,42,1.957209
37.391109,29,1.962429
36.541418,25,1.966362
41.151651,36,1.972438
35.920779,28,1.976721
44.083403,47,1.984932
45.269333,45,1.992104
37.861978,31,1.99678
43.402845,40,2.003412
51.20903,58,2.012989
38.501311,34,2.018836
47.584016,45,2.026028
39.734542,38,2.032342
46.530757,60,2.04219
41.940499,40,2.049204
44.037005,46,2.057603
32.242596,21,2.061108
48.082247,60,2.071127
37.794697,29,2.075635
44.041993,42,2.082536
43.773815,60,2.092511
40.615981,37,2.098789
45.272063,43,2.106588
43.972119,42,2.113586
38.820118,34,2.119463
37.573399,32,2.125072
39.805138,36,2.130396
37.157828,33,2.136134
44.611193,44,2.143229
42.453389,43,2.150187
38.354563,33,2.15592
47.474619,48,2.1635
36.650725,30,2.168849
44.005705,45,2.176062
43.159516,41,2.182771
45.488169,46,2.190106
38.83423,32,2.195704
35.059829,28,2.200007
40.780767,42,2.207599
47.569597,60,2.228727
44.729192,44,2.236386
30.753348,21,2.239991
35.2559,27,2.244339
41.629071,37,2.250622
47.428428,60,2.260433
40.822144,39,2.266854
45.812589,45,2.274048
46.125785,47,2.282277
43.274304,45,2.289505
37.348218,30,2.29405
40.528514,36,2.300124
51.325288,60,2.309947
44.414404,45,2.317127
36.604136,32,2.322716
34.108308,24,2.32653
38.853604,32,2.332132
35.35555,27,2.336313
43.336902,41,2.343008
34.515939,24,2.34681
37.039701,28,2.351899
34.804924,29,2.356323
44.040511,42,2.363141
48.07803,47,2.371352
49.157401,51,2.379315
45.898461,49,2.387825
44.341302,44,2.394897
41.950307,38,2.401231
48.55936,53,2.409417
37.779262,33,2.415154
50.434103,55,2.424396
37.367378,33,2.430035
46.519435,45,2.438103
48.184771,60,2.448623
41.553527,37,2.454892
38.117301,32,2.459714
39.4924,34,2.465588
39.164642,35,2.47158
40.451731,36,2.476889
45.750709,47,2.485167
38.479777,32,2.489962
48.06764,49,2.498423
33.561554,23,2.502113
29.903231,18,2.505176
45.472787,44,2.512223
30.568378,16,2.515042
36.112693,28,2.519342
34.039225,24,2.523144
45.61508,47,2.531373
45.74512,51,2.539292
32.664039,22,2.542826
32.963215,20,2.546124
40.129179,36,2.552189
35.573273,29,2.557385
39.319782,35,2.562541
39.101242,33,2.568281
52.682557,53,2.577583
41.038109,39,2.584614
39.731503,34,2.589982
37.761326,28,2.595818
35.023349,28,2.600524
42.811275,40,2.607873
50.435348,60,2.618529
45.757334,45,2.625901
40.027132,33,2.631729
50.386069,58,2.641527
44.353411,48,2.649204
43.920234,41,2.656018
44.185234,45,2.664241
40.934308,39,2.670757
42.368368,40,2.677397
35.785912,26,2.681754
29.333724,15,2.684766
49.696781,54,2.693333
38.526597,32,2.699074
39.57735,36,2.705298
35.051427,29,2.709795
45.649211,49,2.71841
35.422293,28,2.7228
36.110831,26,2.726934
47.953321,60,2.736935
42.408327,37,2.743261
47.32669,52,2.752282
52.956815,57,2.761925
33.837572,25,2.765928
36.968978,30,2.770532
34.374748,26,2.775449
37.189281,30,2.780052
34.245827,22,2.784423
32.068427,20,2.787836
50.106857,54,2.79729
41.349296,38,2.803793
47.631776,49,2.811649
38.866363,32,2.817372
43.170583,43,2.824421
37.433587,33,2.830204
38.609191,33,2.83519
41.114344,34,2.841097
34.129671,22,2.844699
39.838735,34,2.85061
38.871527,34,2.856502
33.971043,22,2.860092
41.474225,38,2.866506
41.261495,38,2.87292
45.249103,43,2.879953
51.943237,58,2.889665
38.283285,32,2.894536
37.945394,34,2.900478
39.893914,38,2.906928
44.290753,42,2.913841
37.853554,31,2.918581
47.293361,50,2.927255
34.369688,27,2.931466
34.375845,28,2.936625
34.767724,25,2.940629
33.105419,22,2.944244
41.646514,40,2.950891
46.306236,44,2.958013
34.510667,23,2.961699
34.010148,26,2.966575
35.575787,26,2.970671
50.867641,51,2.979444
33.989604,23,2.983161
39.574392,32,2.987984
37.693525,36,2.994118
37.903945,34,2.999997
46.267477,50,3.007824
31.828512,19,3.011043
35.044191,26,3.015885
36.497678,31,3.020573
39.30083,30,3.025934
33.75351,26,3.030014
38.313222,32,3.035594
36.90493,30,3.040168
42.456053,39,3.046636
34.988301,27,3.050831
35.343272,25,3.055537
36.764303,28,3.059854
37.214109,28,3.064155
52.292393,60,3.074016
42.129872,36,3.080104
34.433952,28,3.085191
44.286736,41,3.091878
42.007493,35,3.097055
47.652021,51,3.105803
38.561366,30,3.110345
42.438777,38,3.117349
33.768911,25,3.122193
37.432636,30,3.126811
35.8696,27,3.130999
38.282291,31,3.136512
