#{"t_start": 1764146619.2614012, "env_id": "None"}
r,l,t
39.743366,39,0.01296
35.560364,28,0.018507
39.153791,33,0.024937
50.500847,54,0.091637
39.564973,37,0.098946
52.80139,57,0.110005
41.613461,40,0.145877
39.561142,40,0.1537
43.085851,40,0.161452
31.075318,19,0.192612
36.283132,30,0.198615
53.219957,57,0.209693
38.274874,33,0.216121
37.982864,31,0.249505
33.187962,25,0.254412
37.68822,30,0.260246
37.747722,29,0.265857
40.537635,37,0.300309
38.121819,32,0.30658
28.360958,12,0.308938
34.943617,26,0.313999
31.540655,17,0.317316
34.821746,26,0.352627
33.141048,21,0.356887
33.096064,19,0.360652
30.502406,17,0.364005
27.515239,11,0.366171
33.141196,21,0.370265
32.063215,19,0.373969
30.837847,16,0.377099
33.231677,20,0.408619
29.489285,15,0.411611
39.545019,31,0.417666
30.235011,16,0.420797
28.765806,13,0.42336
33.101067,20,0.427265
33.0003,20,0.457974
28.116594,12,0.460418
34.048475,22,0.464747
29.208346,14,0.467521
29.971287,16,0.470654
32.903112,20,0.47456
28.786062,12,0.476915
31.744361,18,0.480429
32.676116,20,0.511564
30.971028,17,0.514975
29.609397,14,0.517766
29.934812,15,0.520729
32.703654,20,0.524649
30.190531,16,0.527793
27.547659,11,0.529962
32.408136,19,0.533677
29.876435,14,0.56361
33.178309,20,0.56758
29.182918,13,0.570166
34.899929,23,0.574653
33.181115,20,0.578562
27.830163,11,0.580719
30.807503,16,0.583846
28.711965,13,0.58641
35.439001,24,0.619833
28.795519,13,0.622872
31.5208,18,0.626704
29.009209,13,0.629391
28.702469,13,0.632027
28.647359,13,0.63463
28.383391,12,0.637038
26.610288,10,0.63904
28.597795,13,0.641633
35.011754,24,0.675994
29.495632,14,0.67886
30.081282,15,0.681856
29.323745,14,0.684641
29.014399,13,0.687226
31.890247,18,0.690766
32.851464,21,0.694873
30.709537,15,0.726059
32.371923,20,0.730105
33.855037,22,0.734454
28.535687,13,0.737004
29.293217,14,0.739771
33.11016,20,0.743684
31.813027,18,0.747208
29.156803,13,0.749777
28.629366,13,0.780923
29.243172,14,0.783862
30.991371,17,0.787315
30.528604,17,0.790927
28.250615,13,0.793549
29.581434,15,0.796533
34.185313,23,0.80114
34.561272,22,0.833608
30.90883,16,0.836911
32.799519,20,0.840899
30.23951,16,0.844071
30.395306,15,0.847053
31.378245,17,0.850389
31.443799,18,0.853922
31.643893,19,0.857696
31.462702,17,0.888955
26.840673,10,0.891017
28.538862,13,0.893625
30.800152,16,0.896793
29.684512,14,0.899562
26.979651,10,0.901564
27.573772,11,0.903747
28.52442,12,0.906133
28.65643,13,0.908683
26.762209,10,0.91067
33.894759,21,0.941869
30.48697,15,0.944853
28.039299,13,0.947438
29.423478,14,0.950212
28.33191,12,0.952577
27.259012,11,0.95475
27.882861,12,0.957116
31.144598,17,0.960442
34.614542,23,0.992198
28.116243,12,0.994662
28.494245,12,0.997063
30.430384,16,1.000218
30.893879,16,1.003396
31.972755,20,1.007322
30.297337,16,1.010461
29.256847,13,1.013028
29.229554,14,1.015777
30.645746,17,1.047093
36.637069,27,1.052449
32.925434,20,1.056381
32.957589,20,1.060282
29.757603,14,1.063014
27.880828,12,1.065383
27.797691,12,1.067742
26.936175,10,1.069712
36.066305,26,1.102035
28.27751,12,1.104424
29.27865,14,1.107171
35.966864,25,1.112006
30.911602,17,1.115309
31.726616,18,1.118805
29.718237,14,1.121532
33.473907,20,1.152815
38.662625,30,1.158695
34.202847,23,1.163195
34.639516,23,1.167663
33.95069,22,1.171924
31.967809,19,1.202832
31.416018,18,1.206432
31.264388,18,1.209958
29.938773,15,1.212924
31.73198,18,1.216432
30.173391,15,1.219381
32.519871,19,1.223086
33.437355,22,1.254202
36.151343,26,1.259381
31.924169,18,1.262919
28.996329,13,1.265483
31.778907,19,1.269205
35.252017,24,1.273883
32.92577,19,1.277579
33.8712,21,1.308743
35.220422,22,1.313123
31.87096,18,1.316669
31.194032,16,1.319833
34.101351,21,1.323953
34.116525,21,1.328071
35.688917,24,1.360159
31.512521,17,1.363566
41.751155,33,1.369988
43.623129,37,1.377178
34.638424,21,1.381273
39.1712,29,1.414065
46.181301,41,1.422055
44.570163,39,1.429614
45.461164,40,1.464076
39.591569,31,1.47022
56.476256,55,1.480916
56.352297,60,1.519211
46.83126,41,1.527247
52.942893,60,1.565857
52.491338,49,1.575496
56.559594,60,1.587021
57.208089,60,1.625686
57.272067,60,1.637276
53.431021,50,1.674067
52.199772,60,1.685721
54.837433,60,1.724552
45.32637,60,1.736261
50.398541,60,1.77595
56.783176,60,1.787635
46.778107,60,1.82636
53.315218,55,1.837239
50.056187,60,1.848829
43.16067,60,1.887576
48.160518,60,1.89916
54.338227,60,1.937783
54.029721,60,1.949422
45.472757,60,1.988221
46.039318,60,1.999796
45.344031,60,2.038365
49.632103,60,2.049972
47.965075,60,2.088722
51.845199,60,2.100363
44.829189,60,2.13864
48.808965,60,2.150327
43.613569,60,2.161917
45.894994,60,2.202284
46.319733,60,2.21413
50.309482,60,2.256555
46.212343,60,2.26837
52.779518,60,2.310631
50.69425,60,2.323103
57.268967,60,2.362782
51.158856,60,2.374518
52.773428,60,2.414526
51.465778,60,2.42618
52.716288,60,2.466174
55.268466,60,2.477888
50.859041,60,2.519594
55.814812,60,2.531532
44.067775,34,2.538241
54.403897,55,2.577727
54.190105,60,2.589533
53.600409,60,2.629259
54.299993,60,2.640979
55.159167,60,2.681485
56.747708,60,2.694007
51.807042,60,2.744715
53.739615,60,2.761026
57.432922,60,2.809336
49.491767,60,2.823949
50.927534,60,2.837201
53.908171,60,2.88313
51.694427,60,2.896337
48.479026,60,2.941911
45.570776,60,2.955107
53.141426,60,3.000948
48.734926,60,3.014242
53.509302,60,3.059973
52.774946,60,3.072892
50.816424,60,3.112847
45.286552,60,3.124592
43.317977,60,3.16399
50.015048,60,3.175808
45.44774,60,3.214722
47.74454,60,3.226585
45.107921,60,3.238266
47.145518,60,3.277849
47.353833,60,3.289549
43.406921,60,3.32872
45.631633,60,3.340391
45.564769,60,3.379915
44.913298,60,3.391643
49.355235,60,3.431079
52.572641,60,3.44274
45.359586,60,3.48261
49.487112,60,3.49432
50.473113,60,3.53398
52.21342,60,3.545702
52.627153,60,3.584785
51.024386,60,3.596577
58.453518,60,3.63582
61.351359,58,3.647301
60.725428,56,3.658129
42.364953,31,3.691976
42.632645,32,3.698287
45.833396,36,3.705286
40.903204,29,3.710935
43.669224,33,3.744903
32.7965,19,3.748731
28.557448,12,3.751139
60.48193,60,3.762794
49.159065,41,3.798483
60.593763,60,3.810225
58.529356,53,3.848163
42.389292,31,3.854309
35.146272,21,3.85845
62.034442,58,3.869656
50.3041,43,3.906514
59.236435,60,3.91844
60.992012,60,3.959375
60.641462,60,3.97112
61.281076,60,4.010872
58.660984,60,4.022597
60.600017,60,4.062209
58.712192,54,4.072782
45.609576,36,4.079826
36.670161,23,4.084318
40.320668,28,4.117361
54.993483,60,4.129098
59.025181,60,4.168265
56.618141,60,4.179963
58.629272,60,4.219366
60.701839,60,4.231331
56.868376,60,4.243055
59.700634,60,4.282705
60.332143,60,4.294441
58.779621,60,4.334017
58.350473,60,4.345722
53.447,60,4.384751
61.088394,60,4.396402
60.607593,60,4.435859
47.889578,39,4.443548
49.882895,42,4.451718
60.312413,60,4.490929
58.429171,60,4.50264
37.298537,24,4.534964
46.344561,37,4.542255
56.752883,51,4.552102
58.70166,60,4.591767
58.521141,60,4.604926
58.624001,60,4.645594
56.333586,60,4.657532
56.182101,60,4.697093
58.13554,60,4.709011
58.120723,60,4.720737
57.901039,60,4.760006
60.741296,60,4.77661
61.138354,60,4.841126
58.00281,60,4.854367
58.372796,60,4.895524
41.745332,30,4.901479
30.671313,15,4.904465
58.530583,60,4.944107
60.20959,60,4.955829
58.523844,60,4.995203
58.443024,60,5.006989
58.54657,60,5.046418
60.479952,60,5.058148
55.864852,60,5.069696
60.718977,60,5.108798
30.519129,15,5.111781
56.161942,51,5.121595
60.830611,60,5.160988
51.673459,44,5.169577
61.426431,58,5.208217
58.42722,60,5.219916
52.633899,45,5.256885
41.803925,31,5.264715
30.465439,15,5.267893
60.666429,57,5.279036
44.522713,34,5.314587
58.396311,60,5.326436
60.15012,60,5.367649
57.996757,60,5.379504
57.664055,53,5.389758
78.41099,60,5.429778
39.316134,27,5.43576
58.730569,60,5.476506
58.640021,60,5.48826
54.441354,60,5.531845
56.136386,60,5.54464
55.92531,60,5.557469
54.233224,60,5.599649
56.642603,60,5.611418
56.029967,60,5.653226
58.619412,60,5.664897
56.207373,60,5.704192
58.429752,60,5.715923
45.038153,35,5.750999
61.039709,60,5.762778
56.425834,60,5.774414
58.278082,60,5.814031
60.578197,60,5.82568
60.692822,60,5.864955
60.936076,60,5.876597
60.596939,60,5.915983
58.757773,60,5.927571
48.698357,40,5.962713
51.489597,44,5.9714
60.78217,57,5.982469
60.770676,60,6.021755
60.732368,60,6.03342
