#{"t_start": 1764074625.516864, "env_id": "None"}
r,l,t
36.268121,30,0.007383
41.302663,41,0.012499
41.077185,40,0.017433
46.327994,60,0.024685
44.230836,60,0.031941
37.868769,33,0.091045
44.460128,43,0.096454
43.36718,43,0.101796
45.743378,47,0.10785
42.261336,41,0.113036
44.192792,43,0.118287
43.954523,43,0.158532
48.047822,48,0.164423
41.297381,38,0.169315
36.09819,27,0.172672
33.701717,25,0.175702
40.324419,32,0.179533
53.135036,56,0.186182
37.431045,28,0.223988
33.777053,22,0.226761
38.381807,29,0.230345
36.228982,30,0.234023
43.578904,38,0.238648
33.781694,19,0.240995
33.899218,22,0.243698
29.105425,13,0.24532
44.867398,42,0.250443
33.969768,21,0.253142
37.452327,29,0.291024
44.782135,39,0.295807
31.967594,20,0.298267
37.692121,27,0.301567
31.964842,18,0.303781
33.740484,21,0.306364
34.557258,24,0.309294
39.036261,28,0.312691
33.074042,21,0.315258
37.015975,26,0.318412
33.866329,20,0.354993
36.715417,28,0.358417
35.292494,25,0.361425
31.821898,19,0.363722
35.460097,26,0.366836
44.306602,37,0.371317
42.679244,38,0.37593
40.722643,32,0.379801
37.273998,26,0.38296
39.634368,31,0.420672
39.946159,32,0.4246
38.822225,30,0.42824
30.53275,17,0.430334
31.750648,18,0.432533
40.347099,33,0.436532
40.858575,33,0.44055
38.539569,28,0.443938
37.415956,26,0.447097
38.766686,31,0.484913
42.709677,36,0.489367
44.356054,38,0.494015
44.523371,37,0.498535
43.074808,35,0.502778
50.878159,50,0.508877
28.996316,14,0.510616
41.39845,36,0.515006
51.236149,50,0.555413
53.725123,51,0.56163
45.718616,39,0.566376
43.276792,36,0.570751
44.479455,39,0.575484
49.518745,43,0.580699
49.705595,60,0.624734
41.830318,31,0.628748
52.942709,48,0.63494
41.451781,31,0.638837
37.342937,26,0.641986
57.246246,55,0.648574
61.007286,59,0.692607
54.283971,52,0.698825
53.850208,50,0.704807
53.152488,60,0.711996
56.148882,60,0.75344
55.934097,60,0.760766
41.051321,31,0.764555
55.853748,53,0.77096
51.869595,60,0.778209
55.928919,60,0.820329
53.023744,48,0.826583
74.187666,60,0.83435
58.922215,58,0.841456
54.320824,51,0.84764
52.260973,60,0.889964
55.310174,60,0.897148
53.320261,49,0.903077
59.194925,60,0.91033
54.468712,60,0.951539
56.566415,60,0.95868
52.166615,49,0.964543
57.334975,60,0.97174
56.166122,60,0.978915
57.53154,60,1.019929
56.11491,60,1.027091
52.767004,60,1.034302
53.256036,60,1.041494
48.949498,42,1.0803
53.988254,60,1.08763
55.36715,60,1.094901
49.48441,60,1.10216
53.710981,60,1.144171
51.759882,48,1.150093
50.730157,46,1.155676
57.268788,58,1.162667
52.050579,47,1.168336
43.136785,37,1.172792
44.408605,36,1.211223
51.523018,60,1.218409
56.393054,60,1.225525
56.650457,60,1.232621
57.551712,55,1.239241
57.095795,60,1.28106
52.638151,49,1.287054
57.316359,56,1.293841
57.508516,60,1.301099
52.034114,50,1.34128
52.826588,47,1.347027
58.574384,57,1.353928
57.41719,60,1.361177
54.126125,52,1.367439
58.974811,57,1.408635
56.206627,60,1.415841
49.806689,44,1.421178
55.598418,60,1.428431
52.30709,60,1.469999
54.681849,60,1.477443
48.145134,60,1.484728
52.665893,60,1.492021
57.115853,60,1.499294
52.358856,48,1.539447
48.648945,60,1.546601
51.056597,60,1.553774
52.794093,60,1.561011
50.4935,60,1.602935
58.970334,60,1.610315
53.076957,60,1.617612
53.300183,60,1.624847
76.936585,60,1.680777
50.934059,60,1.688303
52.500994,60,1.695568
57.705155,60,1.702772
52.421385,60,1.709978
43.462581,60,1.752573
54.990582,50,1.75868
59.307884,60,1.765937
56.151146,60,1.773188
58.532305,56,1.814412
55.097844,60,1.821688
58.868412,58,1.828656
51.466289,60,1.836087
59.560877,58,1.843188
45.66532,37,1.882113
49.842877,43,1.887376
43.989974,34,1.891548
46.446202,38,1.896211
48.351564,42,1.901286
35.802912,23,1.904103
40.267133,29,1.907648
40.383203,31,1.945618
59.531201,57,1.952629
41.454277,30,1.956321
51.61628,45,1.961856
54.227017,48,1.967673
46.490745,39,1.972425
54.243487,60,2.01396
53.818234,50,2.020071
57.300479,53,2.026538
47.022387,38,2.031143
76.917842,60,2.03841
54.602443,49,2.078745
35.172851,21,2.081356
45.43811,36,2.085877
41.474353,30,2.089556
51.581288,46,2.095504
54.064638,49,2.101513
48.050335,41,2.106577
56.453749,51,2.149171
52.61235,47,2.154949
55.131109,60,2.162241
51.927777,48,2.168119
58.974929,60,2.210116
48.373068,41,2.215146
42.632432,32,2.219182
58.517885,56,2.226126
56.474229,52,2.232459
55.206402,60,2.239725
52.327323,60,2.28154
55.296014,60,2.288891
58.949343,60,2.296225
58.963506,60,2.303541
52.282128,60,2.344985
55.698044,50,2.351041
59.392583,60,2.358289
58.045041,54,2.364823
53.442242,47,2.370513
52.17419,46,2.410405
52.964691,46,2.416021
52.974066,47,2.42176
54.369311,50,2.427831
37.250715,24,2.430775
49.763456,43,2.435978
49.30378,41,2.475458
76.779181,60,2.482688
56.820659,53,2.489133
49.200632,40,2.494001
53.959416,60,2.501253
57.081284,60,2.542633
57.733198,55,2.549341
46.273563,38,2.553967
59.367213,58,2.560979
53.885064,60,2.602779
58.04438,60,2.610119
61.821486,59,2.617922
60.979935,58,2.624833
59.270373,57,2.631716
58.690924,57,2.673578
56.942256,60,2.680877
55.847173,60,2.68813
58.515234,60,2.695343
56.264817,51,2.735821
60.512662,60,2.743106
58.192906,60,2.750342
57.040615,52,2.756644
58.943043,54,2.763154
56.87407,51,2.803824
49.426892,41,2.808875
60.032587,56,2.815675
60.197132,60,2.822962
56.627797,60,2.830201
57.330805,53,2.870649
