#{"t_start": 1764061683.519671, "env_id": "None"}
r,l,t
25.285252,43,0.005079
26.544147,50,0.006955
24.560048,50,0.008779
27.522352,50,0.010616
26.804506,50,0.013047
30.691663,50,0.014915
23.769981,50,0.016749
29.475725,50,0.018599
28.804464,50,0.021061
25.241372,44,0.022691
28.497828,50,0.024521
25.834868,50,0.026321
28.441876,50,0.028768
24.224417,36,0.030114
27.922066,45,0.031758
21.334979,27,0.032784
25.260167,50,0.035107
28.976545,50,0.036949
28.273282,50,0.038763
27.087594,50,0.040594
24.913066,37,0.042631
27.928244,45,0.044344
27.298434,50,0.046224
25.178088,50,0.048064
38.89454,50,0.050476
27.198513,50,0.052293
24.929358,35,0.053581
27.178002,42,0.055107
27.439197,50,0.057392
27.550454,46,0.059095
29.063758,50,0.060926
28.98886,50,0.062739
24.863413,50,0.065079
26.241974,50,0.066892
25.16798,50,0.068702
24.647521,34,0.069934
29.625406,46,0.072145
26.856954,50,0.073962
21.886393,50,0.075815
26.997363,45,0.077434
27.400697,50,0.079675
28.869854,50,0.081537
28.578945,50,0.083373
24.105372,50,0.085169
26.383746,50,0.087506
25.519188,50,0.089332
28.549401,50,0.091161
25.928152,43,0.092703
30.777682,50,0.094997
26.64178,50,0.096809
27.58525,50,0.098628
28.523472,50,0.100428
26.809253,47,0.102626
30.051998,50,0.104466
26.183352,42,0.105984
24.242202,50,0.107796
26.596517,42,0.109872
27.679446,50,0.111698
28.147614,43,0.113258
26.50043,41,0.114759
21.088185,50,0.117084
24.205063,50,0.118911
21.760524,50,0.120767
24.047516,33,0.122158
24.95815,50,0.124801
23.288178,50,0.126853
25.584554,50,0.128907
27.420743,50,0.130982
25.560874,50,0.133515
28.801004,50,0.135342
26.757904,50,0.137176
25.776955,50,0.139003
26.216946,50,0.1414
21.595888,30,0.142529
23.424186,50,0.144366
24.506688,37,0.145746
24.171408,50,0.148132
28.330797,50,0.149942
24.431278,38,0.15132
27.700649,50,0.153105
24.542608,50,0.155387
26.118719,43,0.156954
26.775078,42,0.158517
28.033507,46,0.160187
18.842516,20,0.161377
28.982599,49,0.163163
24.495758,39,0.164567
28.140586,50,0.166408
23.611122,50,0.16866
28.184426,50,0.170487
28.903028,50,0.17231
23.308187,50,0.174134
27.554361,44,0.176433
28.012204,50,0.178345
25.211639,50,0.180181
27.502106,41,0.181734
29.036545,46,0.184055
26.725956,50,0.185887
25.366885,42,0.187451
28.654947,50,0.189261
26.356816,50,0.191883
28.135797,42,0.193414
22.985269,32,0.194589
25.447438,50,0.196406
24.820359,36,0.198291
28.078396,50,0.200109
23.743906,50,0.201932
37.963104,50,0.203737
27.13038,50,0.206242
20.609515,25,0.207194
27.536074,50,0.208989
22.001776,32,0.210158
25.394238,50,0.212455
27.750931,50,0.214249
25.964646,40,0.2157
25.596158,38,0.217088
22.735726,32,0.218753
25.013976,37,0.220088
29.739635,50,0.221892
25.963877,50,0.223691
28.186671,47,0.225871
23.093932,36,0.227228
25.057357,50,0.229053
28.403297,50,0.230874
27.350113,47,0.233175
27.271647,41,0.23467
29.395392,48,0.236456
28.632236,48,0.238183
22.821679,31,0.239877
27.273215,44,0.241492
28.083488,50,0.243273
24.932304,36,0.244585
29.640838,50,0.246829
28.260509,50,0.248631
26.520841,50,0.250435
23.71314,37,0.251787
26.616034,46,0.253946
30.103273,50,0.255786
26.775226,50,0.257583
23.940102,50,0.259388
24.065581,50,0.261672
30.6115,50,0.263487
28.841198,50,0.265287
23.94528,50,0.267097
27.191082,50,0.269427
26.598211,50,0.271273
26.670494,50,0.27307
22.556646,31,0.274219
30.4894,49,0.276475
25.790578,50,0.278277
23.190076,35,0.279547
24.051706,36,0.280849
28.547676,50,0.28306
25.745272,50,0.284879
40.926816,50,0.286716
27.523959,45,0.288335
28.000408,50,0.290697
25.343887,50,0.292505
30.015596,50,0.294311
26.050848,50,0.296098
29.813294,49,0.298334
28.518144,50,0.300146
27.084972,45,0.301769
24.271251,35,0.303053
26.713758,50,0.305602
28.581643,50,0.307417
22.917567,50,0.309252
24.351722,37,0.310605
25.510426,50,0.312907
29.489096,48,0.314638
22.899551,32,0.31581
25.843982,50,0.317624
26.939284,50,0.320002
26.062177,50,0.32185
28.293854,49,0.32362
25.66583,50,0.325435
39.408569,50,0.327771
25.637996,37,0.329156
25.155491,50,0.330966
28.876184,50,0.332762
29.302179,47,0.334998
24.922168,50,0.336826
27.608203,46,0.338477
28.205893,49,0.340244
25.893768,42,0.342465
23.452689,33,0.34368
29.346739,50,0.345491
27.081563,50,0.347288
22.015491,34,0.349039
27.031214,50,0.350844
21.974185,29,0.351902
22.754468,50,0.353714
28.373516,50,0.356485
26.173311,50,0.358317
24.646684,50,0.360115
28.618322,47,0.361843
18.27308,21,0.363207
26.284165,50,0.365222
25.110752,36,0.366712
26.60202,50,0.368736
30.339751,49,0.371302
26.524398,41,0.37299
27.149965,50,0.375033
29.507321,50,0.376893
25.460107,36,0.378928
27.854165,50,0.380725
28.786815,50,0.382542
22.09512,50,0.384323
27.125897,50,0.386704
19.977026,24,0.387747
23.136557,50,0.389794
29.934733,50,0.391876
22.90165,32,0.393823
25.054194,35,0.395302
28.366691,50,0.397359
37.782333,50,0.399343
29.585352,47,0.40157
26.106589,50,0.40408
28.60722,48,0.405827
26.640479,50,0.407629
28.256405,50,0.409912
23.26341,50,0.411711
24.780786,33,0.412927
27.918868,50,0.414715
22.758754,50,0.417084
27.386597,44,0.41868
28.345239,44,0.420279
30.812747,50,0.422068
28.991565,46,0.424297
22.814819,35,0.425565
24.650188,50,0.427399
30.237516,48,0.429135
40.433373,50,0.431397
24.350176,50,0.433231
29.681575,50,0.435022
28.623937,50,0.436837
27.240715,47,0.439059
26.859317,43,0.440612
19.195561,23,0.441477
26.765751,50,0.443302
29.795896,50,0.445604
24.395337,35,0.446889
23.675913,38,0.448277
24.281336,50,0.450076
24.867896,39,0.451999
28.749708,48,0.45376
27.433051,50,0.455555
28.647371,48,0.457293
25.732165,50,0.459661
24.280329,38,0.461045
26.336049,41,0.462537
26.269079,50,0.464347
25.708367,40,0.466289
22.527874,50,0.468085
27.128139,50,0.470009
23.66104,36,0.471336
25.302493,40,0.473587
24.123111,37,0.475106
